block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,pair_questions.thisRepN,pair_questions.thisTrialN,pair_questions.thisN,pair_questions.thisIndex,welcome_text.started,instructions_0_keypress.started,instructions_0_keypress.keys,instructions_0_keypress.rt,instructions_1_keypress.started,instructions_1_text.started,instructions_1_keypress.keys,instructions_1_keypress.rt,instructions_2_keypress.started,instructions_2_text.started,instructions_2_keypress.keys,instructions_2_keypress.rt,text_countdown.started,seq_reveal.started,seq_reveal_adv.started,seq_reveal_adv.keys,seq_reveal_adv.rt,instruction_2afc_text.started,instruction_2afc_keypress.started,instruction_2afc_keypress.keys,instruction_2afc_keypress.rt,dist_2afc_test.started,dist_2afc_resp.started,text.started,stim_00.started,stim_01.started,stim_10.started,stim_11.started,dist_2afc_resp.keys,dist_2afc_resp.rt,graph.started,debrief_text.started,debriefing_title.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,13.721453000005567,13.721453000005567,return,1.0990537999896333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,,,,,,,,,14.84749380001449,14.84749380001449,return,0.6016395000042394,,,,,,,,,,,,,,,,,,,,,,,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,,,,,,,,,,,,,15.481227400014177,15.481227400014177,space,0.7407872000185307,,,,,,,,,,,,,,,,,,,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,,,,,,,,,,,,,,,,,16.254479800001718,21.263996699999552,22.747812899993733,space,0.5410555999842472,,,,,,,,,,,,,,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,,,,,,,,,,,,,,,,,,,,,,23.314076800015755,24.797689800005173,return,0.41649480001069605,,,,,,,,,,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,25.303608499991242,25.303608499991242,25.303608499991242,25.303608499991242,25.303608499991242,25.303608499991242,25.303608499991242,left,1.1941687999933492,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,26.535256000002846,26.535256000002846,26.535256000002846,26.535256000002846,26.535256000002846,26.535256000002846,26.535256000002846,right,0.4673917999898549,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,27.04068350000307,27.04068350000307,27.04068350000307,27.04068350000307,27.04068350000307,27.04068350000307,27.04068350000307,left,0.32575360001646914,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,27.404051299992716,27.404051299992716,27.404051299992716,27.404051299992716,27.404051299992716,27.404051299992716,27.404051299992716,right,0.2090528999979142,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,27.647541700018337,27.647541700018337,27.647541700018337,27.647541700018337,27.647541700018337,27.647541700018337,27.647541700018337,left,0.2553747000056319,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,27.951549099991098,27.951549099991098,27.951549099991098,27.951549099991098,27.951549099991098,27.951549099991098,27.951549099991098,right,0.24313940000138246,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,28.216079600009834,28.216079600009834,28.216079600009834,28.216079600009834,28.216079600009834,28.216079600009834,28.216079600009834,left,0.2968776000197977,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,28.542577699990943,28.542577699990943,28.542577699990943,28.542577699990943,28.542577699990943,28.542577699990943,28.542577699990943,right,0.3136172000085935,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,28.890867100009928,28.890867100009928,28.890867100009928,28.890867100009928,28.890867100009928,28.890867100009928,28.890867100009928,left,0.2828674000047613,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,29.19883549999213,29.19883549999213,29.19883549999213,29.19883549999213,29.19883549999213,29.19883549999213,29.19883549999213,right,0.25177809997694567,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,29.49019579999731,29.49019579999731,29.49019579999731,29.49019579999731,29.49019579999731,29.49019579999731,29.49019579999731,left,0.21331270001246594,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,29.750431199994637,29.750431199994637,29.750431199994637,29.750431199994637,29.750431199994637,29.750431199994637,29.750431199994637,right,0.19551349998801015,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,29.96975270000985,29.96975270000985,29.96975270000985,29.96975270000985,29.96975270000985,29.96975270000985,29.96975270000985,left,0.1498223000089638,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,30.14903339999728,30.14903339999728,30.14903339999728,30.14903339999728,30.14903339999728,30.14903339999728,30.14903339999728,right,0.17862139997305349,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,30.349145799991675,30.349145799991675,30.349145799991675,30.349145799991675,30.349145799991675,30.349145799991675,30.349145799991675,left,0.15027079998981208,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,30.53579520000494,30.53579520000494,30.53579520000494,30.53579520000494,30.53579520000494,30.53579520000494,30.53579520000494,right,0.12078259998816065,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,30.686495100002503,30.686495100002503,30.686495100002503,30.686495100002503,30.686495100002503,30.686495100002503,30.686495100002503,left,0.11056439997628331,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,30.815995100012515,30.815995100012515,30.815995100012515,30.815995100012515,30.815995100012515,30.815995100012515,30.815995100012515,right,0.1319972999917809,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,30.982137500017416,30.982137500017416,30.982137500017416,30.982137500017416,30.982137500017416,30.982137500017416,30.982137500017416,left,0.13273010001285002,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,31.148182800010545,31.148182800010545,31.148182800010545,31.148182800010545,31.148182800010545,31.148182800010545,31.148182800010545,right,0.1651630000269506,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,31.332486800005427,31.332486800005427,31.332486800005427,31.332486800005427,31.332486800005427,31.332486800005427,31.332486800005427,left,0.15769469999941066,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,31.515221300011035,31.515221300011035,31.515221300011035,31.515221300011035,31.515221300011035,31.515221300011035,31.515221300011035,right,0.12630139998509549,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,31.665099000005284,31.665099000005284,31.665099000005284,31.665099000005284,31.665099000005284,31.665099000005284,31.665099000005284,left,0.15871339998557232,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,31.84837660001358,31.84837660001358,31.84837660001358,31.84837660001358,31.84837660001358,31.84837660001358,31.84837660001358,right,0.15104510000674054,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,32.03269650001312,32.03269650001312,32.03269650001312,32.03269650001312,32.03269650001312,32.03269650001312,32.03269650001312,left,0.1061393000127282,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,32.165271100006066,32.165271100006066,32.165271100006066,32.165271100006066,32.165271100006066,32.165271100006066,32.165271100006066,right,0.16308840000419877,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,32.35624610001105,32.35624610001105,32.35624610001105,32.35624610001105,32.35624610001105,32.35624610001105,32.35624610001105,left,0.17901749999145977,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,32.56901629999629,32.56901629999629,32.56901629999629,32.56901629999629,32.56901629999629,32.56901629999629,32.56901629999629,right,0.15749129999312572,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,32.756390399998054,32.756390399998054,32.756390399998054,32.756390399998054,32.756390399998054,32.756390399998054,32.756390399998054,left,0.21280649999971502,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,32.99921030001133,32.99921030001133,32.99921030001133,32.99921030001133,32.99921030001133,32.99921030001133,32.99921030001133,right,0.5590922000119463,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,33.58187940000789,33.58187940000789,33.58187940000789,33.58187940000789,33.58187940000789,33.58187940000789,33.58187940000789,left,0.5001750999945216,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,34.115093900007196,34.115093900007196,34.115093900007196,34.115093900007196,34.115093900007196,34.115093900007196,34.115093900007196,right,0.2906799000047613,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,34.43292379999184,34.43292379999184,34.43292379999184,34.43292379999184,34.43292379999184,34.43292379999184,34.43292379999184,left,0.34635350000462495,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,34.804057500005,34.804057500005,34.804057500005,34.804057500005,34.804057500005,34.804057500005,34.804057500005,right,0.2220060000254307,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,35.05063050001627,35.05063050001627,35.05063050001627,35.05063050001627,35.05063050001627,35.05063050001627,35.05063050001627,left,0.2743915999890305,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,35.36353780000354,35.36353780000354,35.36353780000354,35.36353780000354,35.36353780000354,35.36353780000354,35.36353780000354,right,0.2234838000149466,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,35.621549800009234,35.621549800009234,35.621549800009234,35.621549800009234,35.621549800009234,35.621549800009234,35.621549800009234,left,0.2375846999930218,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,35.88237740000477,35.88237740000477,35.88237740000477,35.88237740000477,35.88237740000477,35.88237740000477,35.88237740000477,right,0.1992160999798216,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,36.115295499999775,36.115295499999775,36.115295499999775,36.115295499999775,36.115295499999775,36.115295499999775,36.115295499999775,left,0.17432280001230538,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,36.315461599995615,36.315461599995615,36.315461599995615,36.315461599995615,36.315461599995615,36.315461599995615,36.315461599995615,right,0.19623980001779273,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,36.53342680001515,36.53342680001515,36.53342680001515,36.53342680001515,36.53342680001515,36.53342680001515,36.53342680001515,left,0.2711999999883119,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,36.832582300005015,36.832582300005015,36.832582300005015,36.832582300005015,36.832582300005015,36.832582300005015,36.832582300005015,right,0.14341479999711737,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,36.99959409999428,36.99959409999428,36.99959409999428,36.99959409999428,36.99959409999428,36.99959409999428,36.99959409999428,left,0.23117799998726696,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,37.24842710001394,37.24842710001394,37.24842710001394,37.24842710001394,37.24842710001394,37.24842710001394,37.24842710001394,right,0.2251512999937404,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,37.50423459999729,37.50423459999729,37.50423459999729,37.50423459999729,37.50423459999729,37.50423459999729,37.50423459999729,left,0.2711015000240877,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,37.798567699996056,37.798567699996056,37.798567699996056,37.798567699996056,37.798567699996056,37.798567699996056,37.798567699996056,right,0.21395389997633174,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,38.031272699998226,38.031272699998226,38.031272699998226,38.031272699998226,38.031272699998226,38.031272699998226,38.031272699998226,left,0.23929170001065359,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,38.300554799992824,38.300554799992824,38.300554799992824,38.300554799992824,38.300554799992824,38.300554799992824,38.300554799992824,right,0.24863940000068396,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.58096960000694,38.58096960000694,38.58096960000694,,,,,,,
